"filename", "language", "TypeScript", "CSS", "HTML", "JavaScript", "SCSS", "comment", "blank", "total"
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/source.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 1, 21
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/kanban.column.store.ts", "TypeScript", 101, 0, 0, 0, 0, 2, 12, 115
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/kanban.task.store.ts", "TypeScript", 99, 0, 0, 0, 0, 3, 23, 125
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/label_store.ts", "TypeScript", 89, 0, 0, 0, 0, 2, 16, 107
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/orderable.store.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 2, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/pomodoro_store.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 12, 46
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/project_store.ts", "TypeScript", 123, 0, 0, 0, 0, 3, 14, 140
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/stage_store.ts", "TypeScript", 71, 0, 0, 0, 0, 3, 12, 86
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/subtask_store.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 13, 69
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/task_store.ts", "TypeScript", 277, 0, 0, 0, 0, 13, 34, 324
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store_manager.ts", "TypeScript", 54, 0, 0, 0, 0, 1, 13, 68
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/kanban.ts", "TypeScript", 92, 0, 0, 0, 0, 2, 25, 119
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/label.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 6, 27
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/orderable.item.ts", "TypeScript", 32, 0, 0, 0, 0, 1, 10, 43
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/pomodoro.history.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 11, 48
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/priority.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/project.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 26, 129
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/project_type.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/stage.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 14, 67
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/status.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 2, 8
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/subtask.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 12, 54
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/task.container.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 2, 6
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/task.item.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 4, 11
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/task.ts", "TypeScript", 166, 0, 0, 0, 0, 3, 46, 215
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/database.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/database.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 17, 112
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/kanban_columns_repository.ts", "TypeScript", 45, 0, 0, 0, 0, 1, 14, 60
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/kanban_tasks_repository.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 14, 59
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/label_repository.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 15, 58
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/pomodoro_repository.ts", "TypeScript", 51, 0, 0, 0, 0, 2, 15, 68
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/project_repository.ts", "TypeScript", 57, 0, 0, 0, 0, 3, 17, 77
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/stage_repository.ts", "TypeScript", 54, 0, 0, 0, 0, 1, 14, 69
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/subtask_repository.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 14, 52
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/task_labels_repository.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 11, 48
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/task_repository.ts", "TypeScript", 95, 0, 0, 0, 0, 8, 26, 129
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/source.ts", "TypeScript", 70, 0, 0, 0, 0, 1, 16, 87
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/events/tick.event.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 3, 9
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/model.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 17, 68
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/pomodoro.component.css", "CSS", 0, 60, 0, 0, 0, 0, 12, 72
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/pomodoro.component.html", "HTML", 0, 0, 74, 0, 0, 1, 5, 80
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/pomodoro.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/pomodoro.component.ts", "TypeScript", 100, 0, 0, 0, 0, 3, 22, 125
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/settings.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 9, 39
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/state.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 5
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/storage/settings.storage.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 7, 35
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/timer.ts", "TypeScript", 180, 0, 0, 0, 0, 12, 42, 234
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/date_formatter.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 1, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/dialog.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 3, 12
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/edit_input_handler.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 2, 13
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/filter/filter.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 6, 27
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/filter/filterable.list.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/filter/filterable.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 3
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/filter/filtered_list.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 7, 30
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/key_codes.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/keys/key_handler.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 1, 9
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/lists/tasks.list.ts", "TypeScript", 83, 0, 0, 0, 0, 2, 15, 100
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/order/orderable.list.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 2, 5
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/order/ordered.list.ts", "TypeScript", 4, 0, 0, 0, 0, 30, 10, 44
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/order/orderer.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 7, 47
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/values.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 4, 10
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/view_helper.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 3, 19
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/shared.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/adding/label.adding.controller.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 11, 69
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/adding/label.adding.model.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 3, 12
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/common/label_view_state.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 9, 34
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/common/list.model.ts", "TypeScript", 20, 0, 0, 0, 0, 1, 7, 28
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/editing/label.editing.controller.ts", "TypeScript", 49, 0, 0, 0, 0, 1, 13, 63
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/editing/label.editing.model.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 3, 12
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/events/update.event.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3, 6
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/labels.component.css", "CSS", 0, 36, 0, 0, 0, 3, 13, 52
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/labels.component.html", "HTML", 0, 0, 111, 0, 0, 1, 7, 119
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/labels.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/labels.component.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 12, 93
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/removing/label.removing.controller.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 5, 40
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/side-container.component.css", "CSS", 0, 14, 0, 0, 0, 0, 3, 17
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/side-container.component.html", "HTML", 0, 0, 10, 0, 0, 0, 1, 11
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/side-container.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/side-container.component.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 13, 52
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/data-source/project.data.source.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 7, 35
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/data-source/task.data.source.ts", "TypeScript", 28, 0, 0, 0, 0, 1, 11, 40
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/model.ts", "TypeScript", 174, 0, 0, 0, 0, 1, 39, 214
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/pomodoro-statistics.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/pomodoro-statistics.component.html", "HTML", 0, 0, 44, 0, 0, 0, 11, 55
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/pomodoro-statistics.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/pomodoro-statistics.component.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 16, 82
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/sorter/project.data.sorter.ts", "TypeScript", 34, 0, 0, 0, 0, 2, 7, 43
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/sorter/task.data.sorter.ts", "TypeScript", 34, 0, 0, 0, 0, 2, 6, 42
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/summary.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
