"filename", "language", "EditorConfig", "JavaScript", "JSON", "SCSS", "TypeScript", "CSS", "HTML", "Markdown", "XML", "comment", "blank", "total"
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/models/insert.task.data.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 11, 42
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/models/insert.task.result.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/order/order.controller.ts", "TypeScript", 0, 0, 0, 0, 130, 0, 0, 0, 0, 2, 18, 150
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/order/status.order.controller.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 5, 23
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/kanban_columns_repository.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/kanban_tasks_repository.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/label_repository.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/orderable.repository.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/pomodoro_repository.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 2, 15
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/project_repository.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/stage_repository.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/subtask_repository.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
