"filename", "language", "SCSS", "TypeScript", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/repositories/subtask_repository.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 2, 12
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/repositories/task_labels_repository.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 2, 11
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/repositories/task_repository.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 2, 23
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/source.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 1, 21
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store/kanban.column.store.ts", "TypeScript", 0, 101, 0, 0, 0, 2, 12, 115
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store/kanban.task.store.ts", "TypeScript", 0, 99, 0, 0, 0, 3, 23, 125
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store/label_store.ts", "TypeScript", 0, 89, 0, 0, 0, 2, 16, 107
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store/orderable.store.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 2, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store/pomodoro_store.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 11, 45
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store/project_store.ts", "TypeScript", 0, 123, 0, 0, 0, 3, 14, 140
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store/stage_store.ts", "TypeScript", 0, 71, 0, 0, 0, 3, 12, 86
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store/subtask_store.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 13, 69
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store/task_store.ts", "TypeScript", 0, 277, 0, 0, 0, 13, 34, 324
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/common/store_manager.ts", "TypeScript", 0, 54, 0, 0, 0, 1, 13, 68
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/database.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 17, 112
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/repositories/kanban_columns_repository.ts", "TypeScript", 0, 45, 0, 0, 0, 1, 14, 60
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/repositories/kanban_tasks_repository.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 14, 59
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/repositories/label_repository.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 15, 58
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/repositories/pomodoro_repository.ts", "TypeScript", 0, 51, 0, 0, 0, 2, 14, 67
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/repositories/project_repository.ts", "TypeScript", 0, 57, 0, 0, 0, 3, 17, 77
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/repositories/stage_repository.ts", "TypeScript", 0, 54, 0, 0, 0, 1, 14, 69
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/repositories/subtask_repository.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 14, 52
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/repositories/task_labels_repository.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 9, 46
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/repositories/task_repository.ts", "TypeScript", 0, 95, 0, 0, 0, 8, 26, 129
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data/local/source.ts", "TypeScript", 0, 70, 0, 0, 0, 1, 13, 84
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/dialog/dialog.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/dialog/dialog.component.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/dialog/dialog.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/dialog/dialog.component.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 4, 19
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/kanban/controllers/column.controller.ts", "TypeScript", 0, 58, 0, 0, 0, 4, 9, 71
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/kanban/controllers/order.controller.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 7, 126
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/kanban/controllers/task.controller.ts", "TypeScript", 0, 62, 0, 0, 0, 4, 12, 78
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/kanban/kanban.component.css", "CSS", 0, 0, 73, 0, 0, 2, 19, 94
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/kanban/kanban.component.html", "HTML", 0, 0, 0, 0, 315, 0, 14, 329
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/kanban/kanban.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/kanban/kanban.component.ts", "TypeScript", 0, 164, 0, 0, 0, 4, 39, 207
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/kanban/kanban.model.ts", "TypeScript", 0, 140, 0, 0, 0, 9, 36, 185
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/adding/label.adding.controller.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 11, 71
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/adding/label.adding.model.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 3, 12
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/common/label_view_state.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 8, 33
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/common/list.model.ts", "TypeScript", 0, 21, 0, 0, 0, 1, 7, 29
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/editing/label.editing.controller.ts", "TypeScript", 0, 50, 0, 0, 0, 1, 12, 63
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/editing/label.editing.model.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 3, 12
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/labels.component.css", "CSS", 0, 0, 36, 0, 0, 3, 12, 51
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/labels.component.html", "HTML", 0, 0, 0, 0, 112, 1, 6, 119
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/labels.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/labels.component.ts", "TypeScript", 0, 88, 0, 0, 0, 0, 13, 101
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/labels/removing/label.removing.controller.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 5, 42
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/lists-container/lists-container.component.css", "CSS", 0, 0, 3, 0, 0, 0, 1, 4
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/lists-container/lists-container.component.html", "HTML", 0, 0, 0, 0, 10, 0, 2, 12
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/lists-container/lists-container.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/lists-container/lists-container.component.ts", "TypeScript", 0, 23, 0, 0, 0, 1, 10, 34
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/main/component_control.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 8, 36
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/main/main.component.css", "CSS", 0, 0, 57, 0, 0, 1, 21, 79
